iter	Passed	Remaining
0	1	129
1	2	106
2	3	99
3	3	88
4	4	81
5	4	76
6	5	75
7	6	72
8	6	69
9	7	66
10	7	64
11	8	64
12	9	64
13	10	65
14	11	64
15	12	66
16	13	65
17	13	63
18	14	62
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	54
25	18	53
26	19	52
27	20	51
28	20	50
29	21	50
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	28	43
39	28	42
40	29	42
41	30	41
42	30	40
43	31	39
44	31	39
45	33	38
46	34	38
47	35	38
48	35	37
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
