iter	Passed	Remaining
0	134	134184
1	135	67512
2	136	45224
3	136	34063
4	137	27393
5	138	22927
6	139	19739
7	139	17344
8	140	15479
9	141	13980
10	141	12761
11	142	11751
12	143	10899
13	144	10202
14	145	9575
15	146	9027
16	147	8539
17	148	8093
18	149	7694
19	149	7334
20	150	7009
21	151	6713
22	151	6449
23	152	6204
24	153	5973
25	153	5765
26	154	5570
27	155	5387
28	155	5218
29	156	5060
30	157	4926
31	158	4791
32	159	4664
33	160	4548
34	160	4434
35	161	4327
36	162	4223
37	162	4123
38	163	4029
39	164	3939
40	164	3854
41	165	3775
42	166	3700
43	166	3627
44	167	3556
45	168	3489
46	168	3424
47	169	3363
48	170	3305
49	170	3247
50	171	3196
51	172	3144
52	173	3097
53	174	3049
54	174	3002
55	175	2956
56	176	2912
57	176	2869
58	177	2828
59	178	2788
60	178	2750
61	179	2712
62	179	2675
63	180	2641
64	181	2606
65	181	2573
66	182	2540
67	183	2509
68	183	2478
69	184	2448
70	184	2419
71	185	2392
72	186	2368
73	187	2341
74	187	2318
75	188	2295
76	189	2271
77	190	2247
78	190	2224
79	191	2201
80	192	2178
81	192	2156
82	193	2132
83	193	2111
84	194	2091
85	194	2072
86	195	2052
87	196	2033
88	196	2015
89	197	1996
90	198	1978
91	198	1961
92	199	1944
93	200	1927
94	200	1910
95	201	1896
96	202	1883
97	203	1869
98	203	1855
99	204	1840
100	205	1825
101	205	1811
102	206	1797
103	207	1783
104	207	1769
105	208	1756
106	208	1743
107	209	1730
108	210	1717
109	210	1705
110	211	1693
111	212	1681
112	212	1669
113	213	1657
114	213	1646
115	214	1634
116	214	1622
117	215	1611
118	216	1604
119	217	1595
120	218	1586
121	218	1575
122	219	1564
123	220	1554
124	220	1544
125	221	1535
126	221	1524
127	222	1514
128	223	1505
129	223	1496
130	224	1487
131	224	1478
132	225	1469
133	226	1460
134	226	1452
135	227	1443
136	227	1435
137	228	1426
138	229	1418
139	229	1410
140	230	1403
141	230	1394
142	231	1387
143	232	1380
144	233	1375
145	233	1368
146	234	1361
147	235	1354
148	235	1347
149	236	1341
150	237	1334
151	237	1327
152	238	1320
153	239	1313
154	239	1306
155	240	1299
156	240	1292
157	241	1286
158	241	1279
159	242	1273
160	242	1265
161	243	1259
162	244	1253
163	244	1247
164	245	1241
165	245	1235
166	246	1230
167	247	1225
168	248	1219
169	249	1216
170	249	1211
171	250	1205
172	251	1200
173	251	1195
174	252	1190
175	253	1185
176	253	1179
177	254	1174
178	257	1182
179	258	1178
180	260	1177
181	264	1190
182	266	1187
183	267	1184
184	267	1180
185	268	1175
186	269	1171
187	270	1166
188	270	1161
189	271	1156
190	271	1151
191	272	1146
192	272	1141
193	273	1136
194	274	1131
195	274	1126
196	275	1122
197	275	1117
198	276	1112
199	277	1108
200	277	1104
201	280	1106
202	282	1109
203	283	1105
204	283	1101
205	284	1096
206	285	1092
207	285	1087
208	286	1083
209	286	1079
210	287	1075
211	288	1072
212	289	1069
213	290	1066
214	291	1063
215	293	1065
216	294	1064
217	295	1060
218	296	1056
219	296	1052
220	297	1048
221	298	1044
222	298	1040
223	299	1036
224	299	1032
225	300	1029
226	301	1026
227	301	1022
228	302	1019
229	303	1015
230	304	1012
231	304	1008
232	305	1005
233	305	1001
234	306	997
235	308	997
236	309	994
237	309	991
238	310	988
239	311	984
240	311	981
241	312	978
242	313	975
243	313	972
244	314	969
245	315	966
246	316	963
247	316	960
248	317	957
249	318	955
250	319	953
251	322	957
252	324	956
253	324	954
254	325	951
255	326	948
256	327	945
257	328	943
258	328	940
259	329	937
260	330	936
261	331	933
262	332	930
263	332	927
264	333	925
265	334	922
266	334	919
267	335	916
268	336	913
269	339	917
270	341	918
271	342	915
272	342	912
273	343	910
274	344	908
275	345	906
276	346	904
277	347	902
278	348	899
279	348	897
280	350	895
281	350	893
282	351	890
283	353	891
284	354	890
285	356	889
286	357	887
287	357	884
288	358	882
289	359	880
290	361	881
291	363	880
292	364	878
293	365	876
294	366	876
295	370	880
296	371	879
297	372	877
298	373	876
299	374	873
300	375	870
301	375	868
302	376	866
303	377	863
304	377	861
305	378	858
306	379	855
307	379	853
308	380	850
309	380	847
310	381	845
311	383	845
312	384	843
313	385	841
314	385	839
315	386	837
316	387	834
317	388	832
318	388	830
319	389	827
320	390	825
321	390	822
322	391	820
323	391	817
324	392	815
325	393	812
326	393	810
327	394	807
328	394	805
329	395	803
330	396	800
331	396	798
332	398	799
333	399	796
334	400	794
335	400	792
336	401	790
337	402	787
338	402	785
339	403	783
340	404	780
341	404	778
342	405	776
343	405	774
344	406	771
345	407	769
346	407	767
347	408	764
348	408	762
349	409	760
350	409	758
351	410	755
352	411	753
353	411	751
354	412	749
355	414	749
356	414	747
357	415	745
358	416	743
359	416	741
360	417	738
361	417	736
362	418	734
363	419	732
364	419	730
365	420	728
366	421	726
367	421	724
368	422	721
369	422	719
370	423	717
371	423	715
372	424	713
373	424	711
374	425	709
375	426	707
376	426	705
377	427	703
378	428	701
379	429	700
380	429	698
381	430	696
382	431	694
383	431	692
384	432	690
385	432	688
386	433	686
387	433	684
388	434	682
389	434	680
390	435	678
391	436	676
392	436	674
393	437	672
394	437	670
395	438	668
396	438	666
397	439	664
398	440	662
399	440	660
400	441	659
401	441	657
402	442	656
403	443	654
404	444	652
405	444	650
406	445	648
407	445	647
408	446	645
409	447	643
410	447	641
411	448	639
412	448	637
413	449	635
414	449	634
415	450	632
416	450	630
417	451	628
418	452	626
419	452	625
420	453	623
421	453	621
422	454	619
423	455	618
424	455	616
425	456	614
426	456	612
427	457	611
428	458	610
429	459	608
430	459	606
431	460	605
432	460	603
433	461	601
434	461	599
435	462	598
436	463	596
437	463	594
438	464	593
439	464	591
440	465	589
441	465	588
442	466	586
443	466	584
444	467	583
445	468	581
446	468	579
447	469	578
448	470	576
449	470	575
450	471	573
451	471	571
452	472	570
453	473	569
454	474	567
455	474	566
456	475	564
457	475	563
458	476	561
459	476	559
460	477	558
461	478	556
462	478	555
463	479	553
464	479	551
465	480	550
466	480	548
467	481	547
468	482	545
469	482	544
470	483	542
471	483	541
472	484	539
473	484	538
474	485	536
475	485	534
476	486	533
477	487	531
478	488	531
479	488	529
480	489	528
481	490	526
482	490	525
483	491	523
484	491	522
485	492	520
486	492	519
487	493	517
488	494	516
489	494	514
490	495	513
491	495	511
492	496	510
493	497	509
494	497	507
495	498	506
496	499	505
497	499	503
498	500	502
499	500	500
500	501	499
501	501	497
502	503	497
503	503	495
504	504	494
505	505	493
506	505	491
507	506	490
508	506	488
509	507	487
510	507	486
511	508	484
512	509	483
513	509	481
514	510	480
515	510	479
516	511	477
517	512	476
518	512	475
519	514	474
520	515	473
521	516	472
522	517	472
523	518	471
524	519	469
525	519	468
526	520	467
527	521	465
528	521	464
529	522	463
530	523	462
531	524	461
532	524	459
533	525	458
534	526	457
535	526	455
536	527	454
537	527	453
538	528	451
539	528	450
540	529	449
541	530	448
542	530	446
543	531	445
544	532	444
545	535	445
546	536	443
547	536	442
548	537	441
549	537	440
550	538	438
551	539	437
552	539	436
553	540	434
554	540	433
555	541	432
556	541	431
557	542	429
558	543	428
559	543	427
560	544	425
561	544	424
562	545	423
563	545	421
564	546	420
565	547	419
566	547	418
567	548	417
568	549	416
569	550	415
570	551	414
571	551	412
572	552	411
573	552	410
574	553	409
575	554	407
576	554	406
577	555	405
578	556	404
579	556	403
580	557	402
581	558	400
582	558	399
583	559	398
584	559	397
585	560	395
586	560	394
587	561	393
588	562	392
589	563	391
590	564	390
591	565	389
592	565	388
593	566	387
594	567	386
595	567	384
596	568	383
597	569	382
598	569	381
599	570	380
600	570	378
601	571	377
602	572	376
603	572	375
604	573	374
605	573	373
606	574	371
607	575	370
608	575	369
609	576	368
610	576	367
611	578	366
612	579	365
613	580	364
614	581	363
615	581	362
616	582	361
617	583	360
618	583	359
619	584	358
620	585	357
621	585	355
622	586	354
623	586	353
624	587	352
625	587	351
626	588	350
627	589	348
628	589	347
629	590	346
630	590	345
631	591	344
632	592	343
633	594	343
634	595	342
635	597	341
636	597	340
637	598	339
638	598	338
639	599	337
640	600	336
641	600	335
642	601	333
643	602	332
644	602	331
645	603	330
646	603	329
647	604	328
648	605	327
649	605	326
650	606	325
651	606	323
652	607	322
653	609	322
654	609	321
655	610	320
656	611	319
657	612	318
658	612	317
659	613	315
660	613	314
661	614	313
662	615	312
663	615	311
664	616	310
665	616	309
666	617	308
667	618	307
668	618	306
669	619	305
670	620	304
671	620	302
672	621	301
673	621	300
674	622	299
675	623	298
676	624	297
677	625	296
678	626	295
679	626	294
680	627	293
681	628	292
682	629	291
683	629	290
684	630	289
685	630	288
686	631	287
687	632	286
688	632	285
689	633	284
690	633	283
691	634	282
692	634	281
693	635	280
694	636	279
695	636	278
696	637	277
697	638	276
698	639	275
699	640	274
700	640	273
701	641	272
702	641	271
703	642	270
704	643	269
705	643	268
706	644	267
707	645	266
708	645	265
709	646	263
710	646	262
711	647	261
712	648	260
713	648	259
714	649	258
715	649	257
716	650	256
717	651	255
718	651	254
719	652	253
720	653	252
721	653	251
722	654	250
723	655	249
724	656	248
725	656	247
726	657	246
727	657	245
728	658	244
729	658	243
730	659	242
731	660	241
732	660	240
733	661	239
734	661	238
735	662	237
736	663	236
737	663	235
738	664	234
739	664	233
740	665	232
741	666	231
742	666	230
743	667	229
744	668	228
745	669	227
746	669	226
747	670	225
748	671	224
749	671	223
750	672	222
751	672	221
752	673	220
753	673	219
754	674	218
755	675	217
756	675	216
757	676	215
758	676	214
759	677	213
760	678	212
761	678	211
762	679	210
763	679	210
764	680	209
765	681	208
766	681	207
767	682	206
768	683	205
769	684	204
770	684	203
771	685	202
772	685	201
773	686	200
774	687	199
775	687	198
776	688	197
777	688	196
778	689	195
779	690	194
780	690	193
781	691	192
782	692	191
783	692	190
784	693	189
785	694	188
786	694	188
787	695	187
788	695	186
789	696	185
790	698	184
791	700	183
792	700	182
793	701	182
794	702	181
795	703	180
796	704	179
797	705	178
798	705	177
799	706	176
800	707	175
801	707	174
802	708	173
803	709	172
804	709	171
805	710	171
806	711	170
807	712	169
808	712	168
809	713	167
810	714	166
811	715	165
812	715	164
813	717	163
814	718	162
815	719	162
816	720	161
817	720	160
818	721	159
819	722	158
820	723	157
821	723	156
822	724	155
823	725	154
824	725	153
825	726	153
826	727	152
827	730	151
828	732	151
829	735	150
830	735	149
831	736	148
832	737	147
833	737	146
834	738	145
835	739	145
836	742	144
837	743	143
838	744	142
839	745	142
840	746	141
841	747	140
842	748	139
843	749	138
844	749	137
845	750	136
846	751	135
847	751	134
848	752	133
849	752	132
850	753	131
